Title,Type,Timestamp,Account Currency,Total Amount in Account Currency,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Amount in Instrument Currency,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Figma,ORDER,2026-05-15T13:45:41.754Z,GBP,824.19,SELL,FIG,US3168411052,16.58160000,0.00,50.00000000,NASDAQ - All Markets,OC1C3R8YIS6T,MARKET,USD,1106.14,22.12280000,1.34204330,1.33417169,59,4.89,,,,,,,,,,,,,,,,,,,,,,,
Cerebras Systems,ORDER,2026-05-14T17:42:56.661Z,GBP,494.33,BUY,CBRS,US15675D1037,245.71500000,0.00,2.00000000,G1 Execution Services,339ABW9OS97A,MARKET,USD,659.40,329.69990000,1.33387544,1.34179201,59,2.90,,,,,,,,,,,,,,,,,,,,,,,
Figma,ORDER,2026-05-14T17:40:07.780Z,GBP,749.51,BUY,FIG,US3168411052,14.90220000,0.00,50.00000000,NASDAQ - All Markets,CXLUUGCTKM6Q,MARKET,USD,999.93,19.99860000,1.33407426,1.34199201,59,4.40,,,,,,,,,,,,,,,,,,,,,,,
Apple,DIVIDEND,2026-05-14T14:50:00.000Z,GBP,14.78,,AAPL,US0378331005,,,86.99994805,,,,USD,,,,0.74049939,0,0.00,2026-05-11,2026-05-14,86.99994805,0.27000000,23.49,19.97,15,3.52,,,,,,,,,,,,,,,
Lloyds,ORDER,2026-05-13T08:31:06.093Z,GBP,74.76,BUY,LLOY,GB0008706128,0.95371795,0.37,78.00000000,London Stock Exchange,X7KGJKCD6ER7,BASIC,GBP,74.39,0.95371795,,,0,,,,,,,,,,,,,,,,,,,,,,,,
HSBC,ORDER,2026-05-13T08:31:04.202Z,GBP,66.92,BUY,HSBA,GB0005405286,13.31800000,0.33,5.00000000,London Stock Exchange,LJJJ3XSD38G8,BASIC,GBP,66.59,13.31800000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Softbank ADR,ORDER,2026-05-12T13:56:56.642Z,GBP,351.11,BUY,SFTBY,US83404D1090,13.96200000,0.00,25.00000000,Other OTC,WXAEUVFTUWDG,MARKET,USD,471.50,18.86000000,1.34282064,1.35079030,59,2.06,,,,,,,,,,,,,,,,,,,,,,,
QuantumScape,ORDER,2026-05-06T14:11:34.032Z,GBP,166.29,BUY,QS,US74767V1098,5.51033333,0.00,30.00000000,"Jane Street Capital, LLC",SXGJ0HZR8AWE,MARKET,USD,224.85,7.49500000,1.35216707,1.36019220,59,0.98,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm,ORDER,2026-05-05T19:38:28.949Z,GBP,8500.00,SELL,QCOM,US7475251036,138.05220093,0.00,61.93635409,Multiple,1DT7KYFNNK05,LIMIT_TRIGGERED,USD,11583.42,187.02130000,1.36270742,1.35471460,59,50.45,,,,,,,,,,,,,,,,,,,,,,,
Lloyds,ORDER,2026-05-05T14:12:44.433Z,GBP,249.24,BUY,LLOY,GB0008706128,0.94296578,1.24,263.00000000,London Stock Exchange,YY2VY9MC1ROZ,MARKET,GBP,248.00,0.94296578,,,0,,,,,,,,,,,,,,,,,,,,,,,,
