Transaction Statement: 01 Feb 2025 - 25 Aug 2026 (Portfolio: DIY 1 / Reference: IP01985296)
Security / ISIN,Transaction Type,Quantity,Share Price,Total Trade Value,Trade Date/Time,Settlement Date,Broker
Global X NASDAQ 100 Covered Call / ISIN IE00BM8R0J59,Buy,18.882175,£13.2400,£250.00,04/03/25 15:06:44,06/03/25,None
Franklin FTSE India / ISIN IE00BHZRQZ17,Buy,7.296903,£30.7884,£224.66,04/03/25 15:06:44,06/03/25,None
Vanguard FTSE Developed World / ISIN IE00BK5BQV03,Buy,3.436627,£86.7594,£298.16,04/03/25 15:06:54,06/03/25,None
Invesco S&P 500 / ISIN IE00B3YCGJ38,Buy,0.499231,£895.9780,£447.30,04/03/25 15:07:07,06/03/25,None
Invesco FTSE All-World / ISIN IE000716YHJ7,Buy,64.480472,£5.3969,£348.00,04/03/25 15:07:10,06/03/25,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,2.269653,£109.4616,£248.44,04/03/25 15:07:11,06/03/25,None
Invesco Nasdaq 100 / ISIN IE0032077012,Buy,1.153297,£388.0266,£447.51,04/03/25 15:07:12,06/03/25,None
Vanguard FTSE Emerging Markets / ISIN IE00BK5BR733,Buy,4.504830,£49.8309,£224.48,04/03/25 15:07:13,06/03/25,None
Franklin FTSE India / ISIN IE00BHZRQZ17,Buy,0.032804,£31.0937,£1.02,05/03/25 15:07:38,07/03/25,None
Global X NASDAQ 100 Covered Call / ISIN IE00BM8R0J59,Buy,0.085201,£13.2627,£1.13,05/03/25 15:07:53,07/03/25,None
Invesco S&P 500 / ISIN IE00B3YCGJ38,Buy,0.002299,£891.6920,£2.05,05/03/25 15:07:56,07/03/25,None
Invesco Nasdaq 100 / ISIN IE0032077012,Buy,0.005270,£388.9943,£2.05,05/03/25 15:07:56,07/03/25,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,0.010283,£109.8901,£1.13,05/03/25 15:08:06,07/03/25,None
Invesco FTSE All-World / ISIN IE000716YHJ7,Buy,0.293845,£5.4110,£1.59,05/03/25 15:08:07,07/03/25,None
Vanguard FTSE Emerging Markets / ISIN IE00BK5BR733,Buy,0.020156,£50.6052,£1.02,05/03/25 15:08:09,07/03/25,None
Vanguard FTSE Developed World / ISIN IE00BK5BQV03,Buy,0.015873,£86.9400,£1.38,05/03/25 15:08:10,07/03/25,None
Franklin FTSE India / ISIN IE00BHZRQZ17,Buy,2.902758,£30.9395,£89.81,12/03/25 15:01:02,14/03/25,None
Invesco S&P 500 / ISIN IE00B3YCGJ38,Buy,0.210918,£849.0503,£179.08,12/03/25 15:01:45,14/03/25,None
Invesco Nasdaq 100 / ISIN IE0032077012,Buy,0.486845,£367.5091,£178.92,12/03/25 15:01:45,14/03/25,None
Vanguard FTSE Developed World / ISIN IE00BK5BQV03,Buy,1.434803,£83.3285,£119.56,12/03/25 15:01:46,14/03/25,None
Vanguard FTSE Emerging Markets / ISIN IE00BK5BR733,Buy,1.803265,£49.7708,£89.75,12/03/25 15:01:49,14/03/25,None
